SRS駕駛側膝蓋輔助氣囊,倒車影像輔助系統（附雙模式輔助線）,倒車雷達+警示音,,,LKA 車道維持輔助系統,車外後視鏡附電動調整/加熱功能,Keyless 免鑰匙啟動裝置,HID氣體放電投射式頭燈 (附自動水平調整),立體鷹眼頭燈附LED前衛燈眉 (車寬燈)／頭燈水平調整,外滑式電動天窗,前/后霧燈,,衛星導航),BMW Professional音響主機含硬碟與DVD播放功,,M款雙前座電動調整座椅含駕駛座記憶裝置,ASR 循跡防滑控制系統,DSC動態穩定系統,多功能整合式方向盤(音響/定速),16吋鋁圈,分離式恆溫空調系統,電動尾門啟閉系統附防夾制機制,Individaul Merino 方向盤含換檔撥桿,ABS／EBD／BAS／BOS煞車優先系統,ARTICO 皮質 + DINAMICA 座椅,,胎壓過低警告系統,AMG 三輻式多功能nappa 真皮平底方向盤,ISO-FIX兒童安全座椅扣環
SRS雙前座輔助氣囊,倒車影像輔助系統+雙模式導引輔助線,倒車雷達二眼式,,,LKA車道偏移輔助系統,車外後視鏡電動調整,KEYLESS-GO 引擎啟動功,HID新式光源頭燈,立體鷹眼頭燈附LED前衛燈眉(車寬燈)／頭燈水平調整,全功能電動天窗,前/後霧燈,,衛星導航系統,BOSE?音響附單片吸入式DVD/AUX IN/MP3/WM,,八向電動調整駕駛座椅,ASR循跡防滑系統,DSC動態穩定控制系統,多功能整合式方向盤(音響/定速/導航),16吋雙色鋁合金輪圈,分離式恆溫空調系統含活性碳微濾網,電動尾門啟閉系統附防夾制機能,M款多功能真皮方向盤含換檔撥桿,ABS/EBD/BAS煞車輔助系統,ARTICO 皮質 座椅,,胎壓監控,AMG 車速感應跑車式動力方向盤,ISOFIX兒童安全座椅固定扣
SRS雙前座輔助氣囊（附乘客端解除開關）,倒車影像顯示系統,倒車雷達四眼式,,,主動式定速控制系統含車道偏離警示系統,車外電動後視鏡,KEYLESS-GO 引擎啟動功能,HID頭燈,全 LED 智慧型頭燈,全景天窗,前／後霧燈,,衛星導航系統內建陀螺儀,C0MAND 多媒體系統內建 DVD 換片機,,右前座椅電動調整,CTC 彎道循跡控制,DSC動態穩定控制系統?,自動煞停&起步功能的主動式定速巡航控制系統,"17吋""Impression""鋁合金輪圈",分離式恆溫空調系統含活性碳微濾網?,電動尾門啟閉系統附防夾制機能?,M款專屬多功能真皮方向盤含換檔撥桿,ABS+BAS+EBD,ARTICO 皮質座椅,,胎壓監測系統 (TPMS),AMG 高性能 nappa 真皮 多功能方向盤材質,ISOFIX兒童安全座椅固定裝置
右前座 SRS 氣囊?閉裝置,HUD倒車距離顯示功能(售服配件),倒車雷達附距離顯示,,,車道偏離警示,車外廣角電動後視鏡,KEYLESS-GO 免鑰匙晶片控制,HID頭燈（附轉向輔助燈及頭燈清洗器）,全LED極光頭燈組,全景式天窗,前後霧燈,,衛星導航設備,CD/DVD/USB/MicroSD讀取裝置,,助手席 4 向電動座椅,DSTC 動態循跡防滑控制系統,ESC 行車動態穩定系統,具備方向盤控制鈕的定速控制系統,17吋Elegant鋁合金輪圈,手套箱空調連動冷藏裝置,電動尾翼,M款跑車式多功能真皮方向盤含換檔撥桿,ABSplus 防鎖死煞車系統,ARTICO 皮質座椅材,,胎壓監測警示系統,AMG 專屬平底三輻式 多功能 nappa 真皮方向盤,ISO-FIX兒童安全座椅固定裝置
右前座SRS 氣囊啟閉裝置,四眼式倒車雷達（含距離圖像顯示）,倒車雷達前,,,車道偏離警示系統,車身同色車側後視鏡(電動收折),KEYLESS-GO免鑰匙晶片控制,HID頭燈（附轉向輔助燈與頭燈清洗器）,全LED頭燈,全景式玻璃天窗,前後霧燈、迎賓照明燈光組,,觸控式衛星導航系統,COMAND Online 多媒體系統內建 DVD 換片機,,助手席4向電動座椅,EBC 減速循跡防滑控制系統,ESC 行車動態穩定系統(整合電子差速鎖定功能),定速巡航,17吋Trendy鋁合金輪圈,手套箱附鎖及照明/空調通風功能,電動啟閉行李廂尾門,Paddle Shift 換檔快撥鍵,ABS防止煞車鎖死系統,,PDC 前後停車導引系統,胎壓檢測,EPS電子動力方向盤,ISO-FIX兒童安全座椅固定機構
右前座SRS氣囊?閉裝置,四眼式倒車雷達（含圖像式距離顯示）,倒車雷達前、後,,,車道變換輔助系統,車身同色電動車外後視鏡附加熱功能,KEYLESS-GO套件,投射式HID氣體放電式頭燈,多光束 LED 智慧型頭燈,全景式電動天窗,前晶炫霧燈,,多功能整合式方向盤(音響/定速/導航),COMAND 多媒體系統內建 DVD 換片機,,前乘客座椅側電動調整按鈕,TCL循跡防滑控制系統,ESC行車動態穩定系統,定速巡航系統,17吋TURBO專用鋁合金輪圈,手動空調(單區),電動啟閉行李箱尾門,Paddle Shift方向盤換檔快撥鍵,ABS防鎖死,ARTICO皮質 ＋ DINAMICA 細織布座椅,PDC 前後圖像式停車導引系統,胎壓警示系統,EPS電動輔助方向盤,ISOFIX兒童安全椅安裝系統
右前座SRS氣囊啟閉裝置,倒車雷達附距離顯示,倒車雷達前/後,,,車道變換警示系統,車身同色電動調整後視鏡,Keyless免匙系統,投射式HID頭燈,投射式 LED 頭燈附自動水平調整,全景式電動天窗（附電動遮陽簾）,前霧燈,,多媒體影音導航系統,COMAND 含前置 6 片 CD/DVD 換片機,,前座12向電動調整座椅,TRC 循跡防滑控制系統,ESC電子車身動態穩定系統,定速巡航系統(附夜間照明),17吋十幅式鋁合金輪圈,手動恆溫空調,電動啟閉尾門,方向盤換檔,ABS防鎖死煞車系統,ARTICO皮質座椅,PDC 後方停車導引系統,電子監控胎壓警示系統,F SPORT真皮方向盤,ISOFIX兒童安全椅固定
右前座正面氣囊,倒車影像輔助系統 （車內後視鏡顯示）,倒車雷達前2後4,,,智慧行車安全顯示器 Smart Hud (車道偏移警示功能 ,車側後視鏡附電動折疊/電動調整/加熱功能,Keyless車門啟閉功能,投射式HID頭燈(附自動水平調整),矩陣式全LED極光頭燈組,全景式電動玻璃天窗,前霧燈 (附角落照明功能),,具備聲控功能的 Nissan 硬碟式導航系統,DVD 換片機,,前座駕駛座椅八向電動調整,TRC循跡防滑控制系統,VDC&TCS動態穩定系統,定速巡航控制,17吋鋁合金輪圈,手動恆溫空調系統,電動開闔尾門/行李蓋,方向盤換檔裝置,ABS防鎖死煞車控制系統,Cool Tech皮質座椅,PDC 後停車導引系統,胎壓偵測警示系統?,F1方向盤換擋撥片,ISOFIX兒童座椅固定系統
右前座輔助氣囊,倒車影像輔助系統（車內後視鏡顯示）,倒車雷達前後,,,,車側後視鏡附電動折疊/電動調整/加熱功能/自動防眩/位置記憶,Keyless車門啟閉系統,高亮度HID遠/近雙氙氣自動調整頭燈,智慧型 LED 頭燈,全景式電動玻璃天窗含防夾制機能,前霧燈（含鍍鉻飾條）,,動態水平顯示附電子羅盤(需選配導航系統),DVD主機,,前座駕駛座椅八向電動調整（六向手動）,TRC循跡防滑控制系統 (Traction Control),VDC車輛動態穩定系統,定速巡航控制系統,17吋鋁合金鑰圈,日照感應式三區獨立恆溫空調,電動開闔尾門附防夾功能,方向盤換檔撥桿,ABS防鎖定剎車系統,CoolTech皮質座椅,PDC前後停車導引系統,,F專屬真皮方向盤,ISO-FIX兒童座椅固定裝置
右前座膝部氣囊,倒車影像顯示系統,倒車雷達前後方四眼式,,,,車側後視鏡鏡面電動調整,Keyless感應門鎖,晶鑽頭燈（HID氙氣式）,遠近光氙氣頭燈(附LED日間行車燈及高壓頭燈清洗裝置),全景式觀景天窗,前霧燈/後霧燈,,智慧車載導航系統,DVD換片機,,後座調整座椅（電動調整）,四輪電子循跡控制系統 (4ETS),VDC車輛動態穩定控制系統,定速巡航控制鍵,17吋鋁圈,日照感應式四區獨立恆溫空調,電動開闔附自動吸附式尾門,跑車式多功能真皮方向盤含換檔撥桿,ABS防鎖定煞車系統,Dakota真皮座椅,Rear Assist 顯影式停車導引系統,,Individaul Merino 方向盤含換檔撥桿,ISOFIX型式兒童安全座椅固定裝置
右後座防潛滑SRS氣囊,倒車顯示系統,倒車雷達前後四眼式,,,,車側電動摺疊後視鏡,Smart Keyless 智慧型啟閉系統,超廣角HID氣體放電式頭燈,標準型 LED 頭燈,全景式觀景天窗(附電動遮陽板),後晶炫霧燈,,觸控式行車導航資訊系統,DVD播放系統,,乘客席4向電動調整座椅,循跡系統,VSA 車身動態穩定控制系統,定速巡航裝置,18吋 “Interlagos”鋁合金輪圈,日照感應式恆溫空調,遙控電動啟閉尾門,跑車式真皮方向盤含換檔撥桿,ABS防鎖定煞車系統 (Anti-lock Brake Sy,designo 真皮座椅,Rear Assist顯影式停車導引系統,,Inscription 原木銜覆鋁合金方向盤,ISOFIX後座兒童安全座椅固定座
右後座防潛滑氣囊,倒車顯示系統(含俯視功能),倒車雷達後,,,,後視鏡電動折疊,免鑰匙啟動車門鎖,超廣角HID氣體放電式頭燈（附自動水平調整）,標準型LED頭燈,車頂置物架（搭配電動天窗）,後霧燈,,Garmin?  MAP PILOT 中文衛星導航系統,DVD播放機,,座椅高低調整電動,循跡系統ASC/ESC,VSA車身動態穩定控制系統,定速系統,"18吋""Innovation""鋁合金輪圈",日照感應式雙前座獨立恆溫空調含後座出風口,,,ABS電子式防鎖死煞車系統,FineNappa真皮座椅,Volkswagen PDC 前後停車導引系統,,Motion Adaptive 方向盤動態修正輔助系統,ISOFIX後座兒童安全座椅固定座?
全尺寸SRS雙前座氣囊,,倒車雷達後方四眼式,,,,後視鏡電動折疊附照地燈,免鑰匙晶片控制系統,遠近雙HID氣體放電式頭燈(附自動水平調整),標準型頭燈 (含 LED 日行燈),車窗/天窗便利控制裝置,後霧燈、迎賓照明燈光組,,可選配 Garmin?  MAP PILOT 中文衛星導航,HDD硬碟式單片吸入DVD/MP3車速感應音量調整,,座椅高低調整電動10向,循跡系統ASR,VSC 車身動態穩定系統 (附VSC SPORT模式),定速控制系統,18吋Dynamic鋁合金輪圈,日照感應式雙區獨立恆溫空調,,,EBD+ABS+BAS 三合一剎車系統,Nappa 真皮座椅,Volkswagen PDC 後方停車導引系統,,Motion Adaptive方向盤動態修正輔助系統,
全尺寸雙前座SRS氣囊,,倒車雷達智慧型電子,,,,後視鏡電動折疊附照地鏡,免鑰匙晶片控制系統 (Keyless Go),遠近雙模式HID頭燈,頭燈光源LED,防夾電動天窗(x2),後霧燈功能,,衛星導航系統[註],MP3/WMA CD 及 DVD 視訊播放能力,,座椅高低調整電動10向+副駕駛電動8向,循跡系統ASR/EBC,動態穩定系統,定速控制系統?,18吋鋁合金輪圈,四區分離式恆溫空調系統含活性碳微濾網,,,防鎖死查車系統（ABS）,Nappa真皮座椅,右前方停車影像輔助系統,,M款多功能真皮方向盤,
全尺寸雙前座氣囊,,倒車雷達標配,,,,後視鏡電動折疊電動+自動收摺,免鑰匙晶片控制套件，包含：,頭燈光源HID,頭燈光源L-Shaped LED,防夾電動天窗(x4),高亮度前後霧燈,,衛星導航系統[註5],Panasonic 全彩觸控DVD影音播放系統,,座椅高低調整電動8向,循跡系統ASTC,動態穩定系統AdvanceTrac,定速控制系統含煞車功能,18吋鋁合金鋼圈,左右獨立恆溫空調,,,防鎖死煞車系統(ABS),Nappa真皮座椅材質,前方停車偵測雷達,,M款多功能真皮方向盤含換檔撥桿,
多段式作動前氣囊 × 2,,倒車雷達隱藏式倒車雷達,,,,後視鏡電動折疊電動折疊,免鑰匙開啟&啟動,,燻黑 LED 頭燈(附自動水平調整),帷幕式全景雙天窗,高亮度前霧燈,,,SMART DVD 附高IQ智慧手機連結,,座椅高低調整駕駛座8向電動,循跡系統ATV,動態穩定系統ASC,定速裝置,19吋鋁合金輪圈,左右獨立恆溫空調系統,,,防鎖定煞車系統 (ABS),Nuluxe豪華皮革/Canvas織布座椅,前後方停車警示系統,,M款專屬多功能真皮方向盤含換檔撥桿,
助手席 SRS 輔助氣囊,,倒車雷達隱藏式雙倒車雷達,,,,後視鏡電動折疊遙控可摺,免鑰匙開啟/引擎觸控啟動系統,,,電動天窗,高亮度穿透式前霧燈,,,Split View 多重視窗功能＋DVD 換片機,,座椅高低調整駕駛座電動,循跡系統DSC,動態穩定系統ASC/ESC,定速裝置附速度限制器,Sonora 鋁圈 (7.5Jx17),左右獨立雙域恆溫空調系統,,,高效能整合式ABS煞車系統,Nuluxe豪華皮革座椅,,,M款跑車式多功能真皮方向盤含換檔撥桿,
助手席SRS輔助氣囊,,倒車輔助雷達,,,,後視鏡電動折疊標配,,,,電動天窗(附防夾裝置),高亮度穿透式後霧燈,,,六片式DVD換片機,,座椅高低調整雙前座電動,循跡系統ESC,動態穩定系統ASR,定速裝置附速度限制器 (SPEEDTRONIC),動感五爪18吋鋁圈,全自動恆溫空調系統,,,高效整合式 ABS 煞車系統,PASSION真皮座椅,後方停車警示系統,,Nappa 真皮 3 輻跑車式方向盤 (平底設計),
助手席輔助氣囊,,倒車輔助雷達（四顆）,,,,後視鏡電動調整,,,,電動天窗全景,高亮度廣角前霧燈,,,主機內建式換片機（1DVD）,,高質感十向電動調整皮質座椅,循跡系統ESP,動態穩定系統ASTC,定速裝置附速度限制器(SPEEDTRONIC),鋁圈,全自動電子恆溫空調系統,,,高效整合式ABS煞車系統,Semi Aniline 頂級真皮座椅,後方圖像式停車警示系統,,Nappa 真皮方向盤,
助手座SRS前輔助氣囊,,停車偵側 / 倒車輔助雷達,,,,專屬車色電動調整後視鏡,,,,電動天窗全景式,高穿透式前 / 後霧燈,,,多媒體系統CD/DVD,,副駕駛座4向可調整電動座椅,循跡系統TCL,動態穩定系統DSC,真皮方向盤附音響與定速巡航控制鍵,鋁圈（16吋）,全自動電子恆溫空調系統 (Climatronic),,,煞車輔助系統ABS/BAS/EBD,Semi Aniline頂級真皮座椅,後停車導引系統,,Nappa 真皮方向盤及真皮排擋桿,
車門SRS輔助氣囊,,停車偵測 / 倒車輔助雷達,,,,電動可加熱除霧車外後視鏡 (整合 LED 側面方向燈),,,,電動天窗全景式玻璃天窗附上掀功能,高聚光力前霧燈,,,多媒體系統DVD,,副駕駛座八向電動調整座椅,循跡系統TRC,動態穩定系統DSC、DDC,節能定速巡航系統,鋁圈16 吋,自動恆溫空調系統附粉塵過濾裝置,,,煞車輔助系統ABS/EBD/BAS/BOS,Semi-Aniline頂級真皮座椅,,,Nappa 真皮四輻方向盤,
車門內頭部氣囊 × 2,,廣角倒車雷達,,,,電動可折後視鏡,,,,電動天窗全景式電動天窗,雙後霧燈,,,多媒體系統DVD觸控螢幕,,第三排座椅（電動2段式收折）,循跡系統標配,動態穩定系統DSTC、CTC、ASC,,鋁圈16吋,冷暖空調,,,煞車輔助系統BOS/ABS/EBD/BAS/ESS,Vienna Classic真皮座椅,,,Nappa真皮方向盤,
車側SRS 頭部氣囊,,隱藏式倒車雷達,,,,電動可調式車外後視鏡,,,,電動天窗標配,,,,多媒體系統觸控式DVD,,第三排隱藏式座椅（電動）,循跡防滑控制系統,動態穩定系統DTC、DSC,,鋁圈17 吋,冷暖空調(智慧型恆溫),,,煞車輔助系統EBD/ABS/BAS,Vienna 真皮座椅,,,Nappa真皮方向盤及真皮排擋桿,
車側SRS頭部氣囊,,隱藏式雙倒車雷達,,,,電動可調車側後視鏡附電動格納,,,,電動天窗選配,,,,含硬碟與DVD,,舒適型八向電動調整真皮座椅,循跡控制系統,動態穩定系統EBA,,鋁圈17吋,直覺式空調操控介面,,,防鎖死煞車系統,Vienna真皮跑車式座椅,停車感應雷達（前方/後方）,,Paddle Shift方向盤換檔快撥鍵,
車側簾式 SRS 氣囊,,雙後倒車雷達,,,,電動可調後視鏡,,,,電動天窗雙開啟式,,,,後座專屬藍光DVD影音系統 (附遙控操作功能),,舒適型分離式電動後座椅,,動態穩定系統ESC,,鋁圈18 吋,空調,,,,人體工學透氣式皮質座椅,停車雷達(附開關及導引面板),,PU高低可調動力方向盤,
車側簾式 SRS 氣囊 (延伸至第三排),,,,,,電動收折/調整後視鏡,,,,電動天窗雙開啟模式,,,,後座影音系統(含雙後座螢幕、DVD播放機、影音輸入端子及iD,,運動型高包覆力八向電動調整真皮座椅,,動態穩定系統VDC,,鋁圈18吋,空調/音響/通訊系統,,,,平織布/皮質座椅,停車雷達-MID指示,,Q3專屬三輻式真皮多功能方向盤,
車側簾式SRS氣囊,,,,,,電動收折車外後視鏡,,,,電動多段調整全景式玻璃天窗,,,,後座獨立DVD播放系統,,電動收折第三排座椅,,動態穩定系統VSA,,鋁圈19 吋,空調出風口類金屬飾框,,,,皮革座椅,停車雷達系統,,R-Design 透氣式真皮跑車級握感方向盤,
車側簾幕式SRS氣囊,,,,,,電動收折車側後視鏡,,,,電動防夾全景式玻璃天窗,,,,音響主機(附MP3讀取格式)+整合式 1DVD,,駕駛座 8 向電動座椅,,動態穩定系統VSC,,鋁圈19吋,空調出風口類金屬調整鍵,,,,皮質人體工學舒適座椅,停車輔助系統（前2後4）,,R-Design透氣式真皮跑車級握感方向盤,
車側簾幕式輔助氣囊,,,,,,電動收折車側後視鏡 (車身同色附方向燈),,,,電動防夾玻璃天窗,,,,音響主機(附MP3讀取格式)-觸控式DVD影音主機,,駕駛座 8 向電動座椅附電動腰靠調整,,動態穩定系統VSC、VDIM,,鋁圈20吋,空調系統(手動）,,,,皮質座椅,停車輔助系統（前4 後4）,,RS4專屬三輻式真皮多功能平底跑車方向盤,
車窗氣囊 × 2,,,,,,電動收折車側後視鏡(車身同色附方向燈),,,,電動玻璃天窗,,,,音響主機（觸控式DVD影音附衛星導航）,,駕駛座8向可調電動座椅 (附電動腰靠調整),,動態穩定系統VSM,,鋁圈21吋,空調系統（旋鈕式）,,,,皮質座椅（不織布）,停車輔助系統（前4後4）,,RS5專屬三輻式真皮多功能平底跑車方向盤,
